

*******************************************************************************
Ephemeris / WWW_USER Sat Jun  6 17:48:07 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars (499)                      {source: mar099}
Center body name: Sun (10)                        {source: DE441}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2024-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2026-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 695700.0, 0.0              {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460335.500000000, A.D. 2024-Jan-26 00:00:00.0000,  7.090799694679126E-02, -1.444622785150139E+00, -3.229218530614796E-02,  1.367409199558419E-02,  2.641300184150795E-03, -1.897678766732147E-04,
2460336.500000000, A.D. 2024-Jan-27 00:00:00.0000,  8.449052266618766E-02, -1.442022687864098E+00, -3.247302333159734E-02,  1.350012476981102E-02,  2.552023017577577E-03, -1.732773814196525E-04,
2460337.500000000, A.D. 2024-Jan-28 00:00:00.0000,  9.792810102023342E-02, -1.439530016444893E+00, -3.264158937088651E-02,  1.338559654315295E-02,  2.428983180795869E-03, -1.653172653957130E-04,
2460338.500000000, A.D. 2024-Jan-29 00:00:00.0000,  1.112837232553715E-01, -1.437170630695562E+00, -3.280660488590156E-02,  1.333695307983086E-02,  2.288252214186987E-03, -1.661801215035077E-04,
2460339.500000000, A.D. 2024-Jan-30 00:00:00.0000,  1.246247966163213E-01, -1.434953690186287E+00, -3.297681390306766E-02,  1.335653538657285E-02,  2.146988104376067E-03, -1.756182526329062E-04,
2460340.500000000, A.D. 2024-Jan-31 00:00:00.0000,  1.380189465743643E-01, -1.432871088500754E+00, -3.316044753975107E-02,  1.344243662592770E-02,  2.022388120290041E-03, -1.928587875206870E-04,
2460341.500000000, A.D. 2024-Feb-01 00:00:00.0000,  1.515298054092073E-01, -1.430897941238299E+00, -3.336471981698688E-02,  1.358861804899683E-02,  1.930639241276449E-03, -2.166508170316724E-04,
2460342.500000000, A.D. 2024-Feb-02 00:00:00.0000,  1.652130439508368E-01, -1.428994098025316E+00, -3.359538550271490E-02,  1.378527687979188E-02,  1.885930180554684E-03, -2.453416767957111E-04,
2460343.500000000, A.D. 2024-Feb-03 00:00:00.0000,  1.791128884599633E-01, -1.427106586350654E+00, -3.385638694689619E-02,  1.401944372848136E-02,  1.899585242572179E-03, -2.769777293415879E-04,
2460344.500000000, A.D. 2024-Feb-04 00:00:00.0000,  1.932593350433139E-01, -1.425172838219992E+00, -3.414961144310465E-02,  1.427577311484246E-02,  1.979372825352867E-03, -3.094235049115150E-04,
2460345.500000000, A.D. 2024-Feb-05 00:00:00.0000,  2.076662314682807E-01, -1.423124502889200E+00, -3.447477391194588E-02,  1.453747889279013E-02,  2.129030739616527E-03, -3.404919326544685E-04,
2460346.500000000, A.D. 2024-Feb-06 00:00:00.0000,  2.223303433524970E-01, -1.420891613199867E+00, -3.482943206057358E-02,  1.478735752499421E-02,  2.348037293935156E-03, -3.680777146881175E-04,
2460347.500000000, A.D. 2024-Feb-07 00:00:00.0000,  2.372314616810011E-01, -1.418406851480633E+00, -3.520913309482495E-02,  1.500883681369165E-02,  2.631642103453669E-03, -3.902857108376469E-04,
2460348.500000000, A.D. 2024-Feb-08 00:00:00.0000,  2.523335451067779E-01, -1.415609654907544E+00, -3.560768303843510E-02,  1.518698614883755E-02,  2.971154739872173E-03, -4.055465097194735E-04,
2460349.500000000, A.D. 2024-Feb-09 00:00:00.0000,  2.675868273931484E-01, -1.412449910004431E+00, -3.601752223728699E-02,  1.530942667300183E-02,  3.354473615434046E-03, -4.127121395810509E-04,
2460350.500000000, A.D. 2024-Feb-10 00:00:00.0000,  2.829307615073036E-01, -1.408891011015412E+00, -3.643018415223283E-02,  1.536708586013362E-02,  3.766822846200267E-03, -4.111260810751262E-04,
2460351.500000000, A.D. 2024-Feb-11 00:00:00.0000,  2.982976208605697E-01, -1.404912095670632E+00, -3.683680946618893E-02,  1.535475050111565E-02,  4.191652168919184E-03, -4.006633144634962E-04,
2460352.500000000, A.D. 2024-Feb-12 00:00:00.0000,  3.136165381212433E-01, -1.400509322026633E+00, -3.722868415851596E-02,  1.527138438529856E-02,  4.611645052650716E-03, -3.817379617951293E-04,
2460353.500000000, A.D. 2024-Feb-13 00:00:00.0000,  3.288177353431815E-01, -1.395696108533701E+00, -3.759776873756805E-02,  1.512019130494737E-02,  5.009773537573513E-03, -3.552780564410928E-04,
2460354.500000000, A.D. 2024-Feb-14 00:00:00.0000,  3.438366874870076E-01, -1.390502322698967E+00, -3.793718636090310E-02,  1.490841953370287E-02,  5.370335469453808E-03, -3.226689758344624E-04,
2460355.500000000, A.D. 2024-Feb-15 00:00:00.0000,  3.586179654735475E-01, -1.384972467823306E+00, -3.824164007992623E-02,  1.464691969717039E-02,  5.679910878880573E-03, -2.856689852569065E-04,
2460356.500000000, A.D. 2024-Feb-16 00:00:00.0000,  3.731185244513733E-01, -1.379162978384129E+00, -3.850773376808900E-02,  1.434948299459228E-02,  5.928179195766122E-03, -2.463020418368989E-04,
2460357.500000000, A.D. 2024-Feb-17 00:00:00.0000,  3.873102367885049E-01, -1.373138788988556E+00, -3.873417716460242E-02,  1.403200012905815E-02,  6.108547470175546E-03, -2.067343971605892E-04,
2460358.500000000, A.D. 2024-Feb-18 00:00:00.0000,  4.011815153506961E-01, -1.366969386115843E+00, -3.892186253115937E-02,  1.371149223999923E-02,  6.218551285763683E-03, -1.691425273792657E-04,
2460359.500000000, A.D. 2024-Feb-19 00:00:00.0000,  4.147379280994975E-01, -1.360724583403500E+00, -3.907380824757521E-02,  1.340507293149521E-02,  6.260003919947440E-03, -1.355804457625744E-04,
2460360.500000000, A.D. 2024-Feb-20 00:00:00.0000,  4.280017665500073E-01, -1.354470278087340E+00, -3.919497278632408E-02,  1.312890467800716E-02,  6.238884666792816E-03, -1.078544830227015E-04,
2460361.500000000, A.D. 2024-Feb-21 00:00:00.0000,  4.410105944182531E-01, -1.348264447355713E+00, -3.929195041001943E-02,  1.289721323310493E-02,  6.164973136816112E-03, -8.741316625956701E-05,
2460362.500000000, A.D. 2024-Feb-22 00:00:00.0000,  4.538148649710255E-01, -1.342153628750522E+00, -3.937256714756271E-02,  1.272142014389597E-02,  6.051251828255059E-03, -7.525891397763582E-05,
2460363.500000000, A.D. 2024-Feb-23 00:00:00.0000,  4.664747523764985E-01, -1.336170099231915E+00, -3.944540168466869E-02,  1.260944627244428E-02,  5.913113392033482E-03, -7.188693469108124E-05,
2460364.500000000, A.D. 2024-Feb-24 00:00:00.0000,  4.790563902812849E-01, -1.330329924920164E+00, -3.951926038284912E-02,  1.256522878838402E-02,  5.767420922736310E-03, -7.725505330148922E-05,
2460365.500000000, A.D. 2024-Feb-25 00:00:00.0000,  4.916277469860582E-01, -1.324632000437521E+00, -3.960263843862503E-02,  1.258848108107857E-02,  5.631478574397316E-03, -9.078630367063141E-05,
2460366.500000000, A.D. 2024-Feb-26 00:00:00.0000,  5.042543887515741E-01, -1.319058136432518E+00, -3.970320004033551E-02,  1.267471023954976E-02,  5.521975276746536E-03, -1.114041327746386E-04,
2460367.500000000, A.D. 2024-Feb-27 00:00:00.0000,  5.169953895875488E-01, -1.313574189955915E+00, -3.982730922118172E-02,  1.281549104143989E-02,  5.453965970583024E-03, -1.375980721079134E-04,
2460368.500000000, A.D. 2024-Feb-28 00:00:00.0000,  5.298996369436976E-01, -1.308132168767324E+00, -3.997964001516653E-02,  1.299897973755652E-02,  5.439952479353558E-03, -1.675158687508090E-04,
2460369.500000000, A.D. 2024-Feb-29 00:00:00.0000,  5.430027585821998E-01, -1.302673181263656E+00, -4.016288968700536E-02,  1.321063629469726E-02,  5.489120051259469E-03, -1.990764549505743E-04,
2460370.500000000, A.D. 2024-Mar-01 00:00:00.0000,  5.563248580354057E-01, -1.297131052158145E+00, -4.037761252272883E-02,  1.343411105560416E-02,  5.606776125300853E-03, -2.300968669969468E-04,
2460371.500000000, A.D. 2024-Mar-02 00:00:00.0000,  5.698691967490208E-01, -1.291436383445373E+00, -4.062218431670975E-02,  1.365224175508367E-02,  5.794025549405096E-03, -2.584253755985188E-04,
2460372.500000000, A.D. 2024-Mar-03 00:00:00.0000,  5.836219032849475E-01, -1.285520813036539E+00, -4.089289972098391E-02,  1.384810010443666E-02,  6.047702050680756E-03, -2.820727129748785E-04,
2460373.500000000, A.D. 2024-Mar-04 00:00:00.0000,  5.975527273314910E-01, -1.279321211394773E+00, -4.118419652090024E-02,  1.400602413393537E-02,  6.360560128368918E-03, -2.993333984495243E-04,
2460374.500000000, A.D. 2024-Mar-05 00:00:00.0000,  6.116167925619370E-01, -1.272783560279014E+00, -4.148899316209431E-02,  1.411257334488593E-02,  6.721715674402646E-03, -3.088897640646042E-04,
2460375.500000000, A.D. 2024-Mar-06 00:00:00.0000,  6.257572414784510E-01, -1.265866277088418E+00, -4.179911894878814E-02,  1.415734842075487E-02,  7.117308467923180E-03, -3.098923316495320E-04,
2460376.500000000, A.D. 2024-Mar-07 00:00:00.0000,  6.399086109884050E-01, -1.258542782105411E+00, -4.210581068262261E-02,  1.413362551147449E-02,  7.531346148491701E-03, -3.020116384113142E-04,
2460377.500000000, A.D. 2024-Mar-08 00:00:00.0000,  6.540007329018496E-01, -1.250803152100692E+00, -4.240024545928657E-02,  1.403876642149413E-02,  7.946678197669844E-03, -2.854583545389688E-04,
2460378.500000000, A.D. 2024-Mar-09 00:00:00.0000,  6.679629215308590E-01, -1.242654759471667E+00, -4.267407713512496E-02,  1.387437969117148E-02,  8.346040533119166E-03, -2.609704671916821E-04,
2460379.500000000, A.D. 2024-Mar-10 00:00:00.0000,  6.817281930665173E-01, -1.234121857942285E+00, -4.291994375253502E-02,  1.364622274326711E-02,  8.713107018721668E-03, -2.297683096600039E-04,
2460380.500000000, A.D. 2024-Mar-11 00:00:00.0000,  6.952372594729774E-01, -1.225244140087125E+00, -4.313191498441468E-02,  1.336385106222091E-02,  9.033483777108607E-03, -1.934801781487685E-04,
2460381.500000000, A.D. 2024-Mar-12 00:00:00.0000,  7.084420533868795E-01, -1.216074354637635E+00, -4.330585231532082E-02,  1.304003580971826E-02,  9.295585683419634E-03, -1.540430767224404E-04,
2460382.500000000, A.D. 2024-Mar-13 00:00:00.0000,  7.213085691065642E-01, -1.206675128858250E+00, -4.343965999734774E-02,  1.268998539085243E-02,  9.491341601848457E-03, -1.135846432786326E-04,
2460383.500000000, A.D. 2024-Mar-14 00:00:00.0000,  7.338188464569069E-01, -1.197115189749442E+00, -4.353341147839815E-02,  1.233041842496302E-02,  9.616685357042597E-03, -7.429345111486473E-05,
2460384.500000000, A.D. 2024-Mar-15 00:00:00.0000,  7.459719765805739E-01, -1.187465214490901E+00, -4.358934359410035E-02,  1.197854463951239E-02,  9.671802496934095E-03, -3.828559138956451E-05,
2460385.500000000, A.D. 2024-Mar-16 00:00:00.0000,  7.577840683464168E-01, -1.177793563146389E+00, -4.361171887840622E-02,  1.165101583027445E-02,  9.661117804892583E-03, -7.475672590538065E-06,
2460386.500000000, A.D. 2024-Mar-17 00:00:00.0000,  7.692871774423224E-01, -1.168162153832133E+00, -4.360656438926795E-02,  1.136291086006119E-02,  9.593024325579770E-03,  1.653989452709003E-05,
2460387.500000000, A.D. 2024-Mar-18 00:00:00.0000,  7.805272634695926E-01, -1.158622731863044E+00, -4.358130297472370E-02,  1.112681659079131E-02,  9.479370419393687E-03,  3.258020719165215E-05,
2460388.500000000, A.D. 2024-Mar-19 00:00:00.0000,  7.915612996246494E-01, -1.149213760366117E+00, -4.354429946323913E-02,  1.095206079238182E-02,  9.334736117645801E-03,  3.995184073355988E-05,
2460389.500000000, A.D. 2024-Mar-20 00:00:00.0000,  8.024537112271943E-01, -1.139958121954888E+00, -4.350434945040829E-02,  1.084414379988526E-02,  9.175542915384907E-03,  3.849109210032131E-05,
2460390.500000000, A.D. 2024-Mar-21 00:00:00.0000,  8.132723602787281E-01, -1.130861771604392E+00, -4.347014185468494E-02,  1.080440356718035E-02,  9.019051295323577E-03,  2.857392523451245E-05,
2460391.500000000, A.D. 2024-Mar-22 00:00:00.0000,  8.240843209151074E-01, -1.121913422866620E+00, -4.344972801368349E-02,  1.082993454083526E-02,  8.882307104628479E-03,  1.109301169873212E-05,
2460392.500000000, A.D. 2024-Mar-23 00:00:00.0000,  8.349517033658853E-01, -1.113085286556852E+00, -4.345002969315643E-02,  1.091376530536648E-02,  8.781101019369339E-03, -1.259673641783193E-05,
2460393.500000000, A.D. 2024-Mar-24 00:00:00.0000,  8.459277810760174E-01, -1.104334816864131E+00, -4.347641600813461E-02,  1.104528416482231E-02,  8.729004540618548E-03, -4.076081915182234E-05,
2460394.500000000, A.D. 2024-Mar-25 00:00:00.0000,  8.570536571613092E-01, -1.095607358410294E+00, -4.353237505438447E-02,  1.121088670558826E-02,  8.736541305659141E-03, -7.139094469635568E-05,
2460395.500000000, A.D. 2024-Mar-26 00:00:00.0000,  8.683556734832281E-01, -1.086839532847193E+00, -4.361930027363555E-02,  1.139480586121339E-02,  8.810544248152216E-03, -1.023275205821411E-04,
2460396.500000000, A.D. 2024-Mar-27 00:00:00.0000,  8.798437203457307E-01, -1.077963158488237E+00, -4.373640457962777E-02,  1.158007387723455E-02,  8.953737810271433E-03, -1.313913761287412E-04,
2460397.500000000, A.D. 2024-Mar-28 00:00:00.0000,  8.915105498996879E-01, -1.068909463966354E+00, -4.388076748117514E-02,  1.174955751599659E-02,  9.164570684982701E-03, -1.565166823691070E-04,
